SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2023-24,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,11,Misc,40,0.137,96.9,0.42,38.2,62,17,3,5,0.6,0.6,0,0.225,0,0.65
2023-24,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,11,Misc,40,0.041,26.2,0.72,81.8,81,29,5,13,0.385,0.385,0.075,0.275,0.025,0.425
2023-24,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,11,Misc,54,0.039,21.8,1.04,98.8,72,56,11,21,0.524,0.571,0.056,0.333,0,0.278
2023-24,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,11,Misc,58,0.063,65.5,0.5,49.4,75,29,4,20,0.2,0.275,0,0.207,0,0.448
2023-24,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,11,Misc,58,0.03,7.4,0.55,60,80,32,5,13,0.385,0.423,0.069,0.259,0.017,0.534
2023-24,1641710,Anthony Black,1610612753,ORL,Orlando Magic,11,Misc,19,0.057,56.3,0.47,45.5,69,9,1,2,0.5,0.5,0.053,0.316,0,0.579
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,1,Isolation,12,0.035,19.5,0.83,36.8,42,10,5,11,0.455,0.455,0.083,0.083,0.083,0.083
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,1,Isolation,48,0.055,45,1.02,72.7,60,49,21,38,0.553,0.553,0.083,0.083,0,0.125
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,1,Isolation,36,0.045,31.9,0.86,42.7,57,31,11,27,0.407,0.407,0.167,0.194,0.028,0.083
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,1,Isolation,60,0.078,64.9,0.68,15,60,41,11,42,0.262,0.286,0.167,0.167,0,0.133
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,1,Isolation,10,0.069,59.4,0.7,17.7,34,7,3,7,0.429,0.429,0.1,0.1,0,0.2
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,1,Isolation,91,0.064,54.2,0.69,16.3,80,63,26,78,0.333,0.359,0.044,0.044,0.011,0.11
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,1,Isolation,37,0.063,53,0.73,20.5,53,27,12,30,0.4,0.4,0.081,0.081,0.027,0.135
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,1,Isolation,233,0.15,91.2,0.85,40.6,72,198,64,167,0.383,0.407,0.206,0.215,0.047,0.112
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,2,Transition,35,0.102,11.3,1.23,71.2,42,43,16,32,0.5,0.672,0,0,0,0.086
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,2,Transition,71,0.205,75.8,1.37,88.3,48,97,34,65,0.52,0.731,0.028,0.028,0.014,0.07
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,2,Transition,175,0.199,70.7,1.14,53,60,200,84,140,0.6,0.607,0.091,0.126,0.051,0.126
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,2,Transition,30,0.117,17.1,1.47,94.8,40,44,17,28,0.61,0.75,0.067,0.067,0.033,0.033
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,2,Transition,76,0.094,8.9,0.99,22.3,57,75,28,65,0.43,0.515,0.066,0.066,0.013,0.092
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,2,Transition,73,0.135,22.6,1.08,40.6,57,79,29,61,0.48,0.557,0.096,0.096,0.014,0.082
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,2,Transition,176,0.276,96.7,1.05,34.9,70,185,76,130,0.58,0.612,0.108,0.114,0.034,0.182
2022-23,1629643,Chuma Okeke,1610612753,ORL,Orlando Magic,2,Transition,17,0.115,16,0.47,1,28,8,2,14,0.14,0.143,0.118,0.118,0,0.059
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,2,Transition,17,0.116,16.6,1,24.6,38,17,6,14,0.43,0.5,0.118,0.118,0.059,0.118
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,2,Transition,147,0.192,64.5,1.1,45.9,60,162,55,107,0.51,0.579,0.143,0.163,0.041,0.15
2022-23,1630181,R.J. Hampton,1610612753,ORL,Orlando Magic,2,Transition,25,0.167,47,1.28,80.3,26,32,11,19,0.58,0.632,0.24,0.24,0.08,0.08
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,2,Transition,21,0.146,30.8,0.95,18.4,34,20,8,18,0.44,0.472,0.095,0.143,0.095,0.095
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,2,Transition,234,0.165,45.7,1.33,85,80,312,106,183,0.58,0.678,0.167,0.175,0.03,0.073
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,2,Transition,132,0.224,83.8,0.98,20.9,53,129,45,99,0.45,0.505,0.152,0.182,0.053,0.121
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,2,Transition,293,0.188,61.2,1.08,39,72,315,102,192,0.53,0.552,0.259,0.273,0.068,0.13
2022-23,1631216,Caleb Houstan,1610612753,ORL,Orlando Magic,2,Transition,26,0.125,20,0.54,1.5,51,14,5,25,0.2,0.28,0,0,0,0.038
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,63,0.184,48.6,1.06,89.8,42,67,27,49,0.551,0.602,0.048,0.063,0,0.159
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,27,0.078,24.1,1,80.9,48,27,10,24,0.417,0.458,0.111,0.111,0.037,0.037
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,273,0.311,76.8,0.89,54.8,60,244,107,210,0.51,0.517,0.077,0.081,0.018,0.168
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,11,0.014,1,0.82,38.2,57,9,3,8,0.375,0.375,0.182,0.182,0,0.091
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,55,0.086,26.3,0.73,24.6,70,40,15,37,0.405,0.432,0.091,0.091,0.018,0.255
2022-23,1629643,Chuma Okeke,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,11,0.074,23.2,0.45,2.5,28,5,2,8,0.25,0.313,0,0,0,0.273
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,289,0.377,91.4,1.02,84.3,60,295,116,229,0.507,0.539,0.093,0.104,0.021,0.125
2022-23,1630181,R.J. Hampton,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,36,0.24,60,0.92,61.6,26,33,9,23,0.391,0.457,0.167,0.194,0.028,0.194
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,11,0.076,23.8,0.55,5.9,34,6,1,7,0.143,0.143,0.182,0.182,0,0.182
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,420,0.296,73,0.9,58.2,80,380,156,321,0.486,0.519,0.064,0.069,0.005,0.171
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,135,0.229,57.8,0.89,53.7,53,120,47,98,0.48,0.566,0.044,0.067,0.015,0.222
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,3,PnR Ball-Handler,347,0.223,56.5,0.85,47.7,72,296,105,256,0.41,0.441,0.147,0.159,0.037,0.141
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,4,PnR Roll Man,60,0.233,88.3,1.28,78.3,40,77,26,49,0.531,0.653,0.167,0.167,0.07,0.083
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,4,PnR Roll Man,149,0.185,77.4,1.11,47.8,57,165,68,128,0.531,0.59,0.067,0.067,0.01,0.081
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,4,PnR Roll Man,99,0.183,76.2,1.1,46.7,57,109,37,75,0.493,0.54,0.202,0.202,0.05,0.091
2022-23,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,4,PnR Roll Man,15,0.165,72.5,1.07,41,17,16,8,15,0.533,0.533,0,0,0,0
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,4,PnR Roll Man,30,0.047,40.4,1.1,46.4,70,33,14,25,0.56,0.58,0.1,0.1,0.03,0.1
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,4,PnR Roll Man,19,0.129,64.2,1.26,74.2,38,24,10,17,0.588,0.676,0.053,0.053,0,0.053
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,4,PnR Roll Man,31,0.022,21.1,1.23,67.4,80,38,13,26,0.5,0.538,0.194,0.226,0.1,0.032
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,4,PnR Roll Man,56,0.036,33.6,0.89,21.7,72,50,14,40,0.35,0.388,0.196,0.196,0,0.089
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,5,Postup,38,0.043,29,0.95,47.9,60,36,17,31,0.548,0.548,0.053,0.053,0.026,0.158
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,5,Postup,19,0.074,56.8,0.79,16.8,40,15,6,14,0.429,0.429,0.105,0.105,0,0.158
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,5,Postup,54,0.067,48.8,0.89,34.7,57,48,18,35,0.514,0.514,0.093,0.185,0.019,0.185
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,5,Postup,28,0.052,38.9,1.29,97,57,36,10,16,0.625,0.625,0.321,0.357,0.071,0.143
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,5,Postup,27,0.019,8.6,1.15,86.2,80,31,9,17,0.529,0.529,0.259,0.333,0.074,0.111
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,5,Postup,110,0.071,53.1,0.96,52.7,72,106,41,80,0.513,0.513,0.155,0.164,0.018,0.127
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,6,Spotup,101,0.294,53.5,1.14,76.7,42,115,40,95,0.421,0.6,0.02,0.02,0.01,0.05
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,6,Spotup,122,0.353,71.3,1.19,84.7,48,145,49,116,0.422,0.603,0.016,0.025,0.008,0.033
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,6,Spotup,153,0.174,21.7,0.9,24.9,60,138,55,137,0.401,0.471,0.039,0.052,0.02,0.072
2022-23,1628371,Jonathan Isaac,1610612753,ORL,Orlando Magic,6,Spotup,10,0.164,19.7,0.9,24.2,11,9,3,10,0.3,0.45,0,0,0,0
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,6,Spotup,59,0.23,34.9,1.05,58.7,40,62,20,56,0.357,0.536,0.017,0.034,0,0.017
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,6,Spotup,208,0.258,41.9,1.13,75.7,57,235,84,184,0.457,0.598,0.048,0.053,0.005,0.067
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,6,Spotup,153,0.283,49.8,1.09,67.3,57,167,57,140,0.407,0.521,0.085,0.092,0.039,0.033
2022-23,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,6,Spotup,10,0.11,9.2,0.5,1.4,17,5,2,10,0.2,0.25,0,0,0,0
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,6,Spotup,174,0.273,47.1,0.81,12.3,70,141,51,133,0.383,0.447,0.069,0.075,0.011,0.172
2022-23,1629643,Chuma Okeke,1610612753,ORL,Orlando Magic,6,Spotup,66,0.446,89,1.02,50.1,28,67,23,59,0.39,0.559,0.03,0.015,0.015,0.091
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,6,Spotup,60,0.408,81.6,1.02,50.5,38,61,20,55,0.364,0.5,0.067,0.067,0.033,0.05
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,6,Spotup,140,0.183,23.7,1.01,48.3,60,141,48,131,0.366,0.504,0.043,0.043,0.021,0.043
2022-23,1630181,R.J. Hampton,1610612753,ORL,Orlando Magic,6,Spotup,50,0.333,64.7,0.88,21.1,26,44,13,42,0.31,0.44,0.08,0.08,0.02,0.1
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,6,Spotup,43,0.299,54.4,1.12,72,34,48,16,37,0.432,0.622,0.07,0.07,0.047,0.116
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,6,Spotup,246,0.173,21.5,1.07,61.8,80,262,96,217,0.442,0.548,0.073,0.073,0.02,0.065
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,6,Spotup,133,0.225,33.1,0.83,16.4,53,111,39,120,0.325,0.433,0.045,0.038,0,0.053
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,6,Spotup,230,0.148,15.8,0.87,19.6,72,199,68,202,0.337,0.443,0.061,0.061,0.009,0.07
2022-23,1631216,Caleb Houstan,1610612753,ORL,Orlando Magic,6,Spotup,112,0.538,98.5,1.07,62.9,51,120,40,106,0.377,0.547,0.018,0.018,0.009,0.045
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,7,Handoff,63,0.184,98.6,0.67,10.2,42,42,20,54,0.37,0.37,0.016,0.016,0,0.127
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,7,Handoff,45,0.13,95,0.82,29,48,37,13,39,0.333,0.41,0.044,0.044,0,0.089
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,7,Handoff,28,0.032,15.1,0.79,25.8,60,22,8,22,0.364,0.386,0.107,0.107,0.036,0.143
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,7,Handoff,30,0.047,34.8,0.6,5,70,18,7,20,0.35,0.375,0.133,0.133,0,0.2
2022-23,1629643,Chuma Okeke,1610612753,ORL,Orlando Magic,7,Handoff,21,0.142,97.1,0.57,3.2,28,12,4,18,0.222,0.278,0.048,0.048,0,0.095
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,7,Handoff,52,0.068,60.2,0.92,47.5,60,48,18,48,0.375,0.427,0.077,0.096,0.058,0.038
2022-23,1630181,R.J. Hampton,1610612753,ORL,Orlando Magic,7,Handoff,12,0.08,73.1,0.67,10.2,26,8,4,11,0.364,0.364,0,0,0,0.083
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,7,Handoff,11,0.076,69.2,1,60.9,34,11,4,9,0.444,0.444,0.273,0.273,0.091,0
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,7,Handoff,131,0.092,80.3,0.85,36.4,80,112,39,110,0.355,0.395,0.092,0.107,0.023,0.076
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,7,Handoff,44,0.075,68.5,1.11,78.2,53,49,18,39,0.462,0.603,0.045,0.045,0.045,0.114
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,7,Handoff,50,0.032,15.1,0.86,37.9,72,43,15,36,0.417,0.458,0.16,0.16,0.02,0.14
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,8,Cut,12,0.035,22.3,1.83,99.2,48,22,9,10,0.9,0.9,0.167,0.167,0,0
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,8,Cut,44,0.05,36.9,1.41,72.6,60,62,29,39,0.744,0.744,0.045,0.045,0,0.068
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,8,Cut,32,0.125,70,1.44,78.7,40,46,21,28,0.75,0.75,0.094,0.125,0.063,0.063
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,8,Cut,97,0.12,68.6,1.22,33.1,57,118,50,73,0.685,0.685,0.134,0.144,0.021,0.124
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,8,Cut,85,0.157,75.7,1.42,75.7,57,121,43,62,0.694,0.694,0.282,0.282,0.047,0.035
2022-23,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,8,Cut,16,0.176,79.4,1.25,40.7,17,20,9,13,0.692,0.692,0.063,0.063,0,0.125
